oid,noid,file,packageType,workflow_step,owner,title,description,status,date_created,date_modified,rules_oid
,,,dmpt,,SznmcZk8PqZonEXyC4QL-f8V60I,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
,,,dmpt,,utYTal3EaSpQKDOxUH5FwoinONs,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
7535d989475477dea81e452358d3e957,,,dmpt,,admin,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
aeb1d817436d4214dee90e0290ed545b,,,dmpt,,ZG5TpA8GFIrRL1X2kvZm4wYMVsA,Meat goat production,,invalid: Missing value for contributor_data_manager,,,
994aec63e4c1b6ea9f43f64ae96c5f98,6d0801e71f01c393725e3591a9b8a10e,,dmpt,,ILe2WwlMbnDJdT-4FwkSVGtaMIs,The anti-colitic properties of Na-AIP-1,,set: [object Object],,,
0da1b4665383f83bfd2505082125b53c,,,dmpt,,tlM2aeU-ic27E_ydxOZF7_bCuYc,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
8ca5a054b1591d625b30edfcbceef7d2,,,dmpt,,z9QkhZ0g2gtQIbqUEUJ0bRH7ZZ8,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
18a15084794d9d2c423b43a8afc2eeea,,,dmpt,,admin,"Behaviour, Histopathology and Immunobiology: interactions between Neobenedenia (monogenea: capsalidae) and its host, Lates calcarifer (perciformes: latidae)",,invalid: Missing value for contributor_data_manager,,,
,,,dmpt,,qEPhL3sAWnL84kDwimhVxpD_Tlw,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
84e73985bd17454c8cbc873f6b00b2cc,,,dmpt,,cIqP18_IwCkSO3P_tb-pqMrrF1o,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
,,,dmpt,,fogq3qZOGvrc64CEHPwBCat65Ng,,,invalid: No CI; Missing value for title; Missing value for dc:identifier; Missing value for contributor_ci; Missing value for contributor_data_manager,,,
585c7c0b38b65cc9d964ce6be3a4c1a4,,,dmpt,,HwiiZLkMsNokXOHyBCJoukWy9Fg,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
5f3dfff1fdbc0a75394369b519cc8217,,,dmpt,,H2XBVjX3gCP7k9Jg577v6uSZWks,,,invalid: Missing value for title; Missing value for dc:identifier; Missing value for contributor_data_manager,,,
